tweet_text,retweet_count,reply_count
A must watch for the good of our DEMOCRACY!,3100,1600
Thank You Samantha. A Star Is Born!!!,1300,521
Thank you Rachael. That is the best way to beat the Fake News!,1400,842
Great!,4800,1400
New York City must stop the Shutdown now. The Governor & Mayor are destroying the place!,47300,21100
The Democrats will open up their states on November 4th the day after the Election. These shutdowns are ridiculous and only being done to hurt the economy prior to the most important election perhaps in our history! #MAGA,40100,18600
Really Sad!,5100,4300
They are not “peaceful protesters” as Sleepy Joe and the Democrats call them they are THUGS - And it is all taking place in Democrat run cities. Call me and request Federal HELP. We will solve your problems in a matter of minutes - And thanks to the U.S. Marshalls in Portland!,3300,17500
Police Chief and most of the police in Rochester N.Y. have resigned. The Democrat Mayor and of courses Governor Cuomo have no idea what to do. New York State is a mess - No Money High Taxes & Crime Everyone Fleeing. November 3rd. We can fix it!,45400,25000
WOW! Do you believe this!?,11400,5100
THANK YOU to the 28000+ Firefighters and other First Responders who are battling wildfires across California Oregon and Washington. I have approved 37 Stafford Act Declarations including Fire Management Grants to support their brave work. We are with them all the way!,14200,5400
Another HISTORIC breakthrough today! Our two GREAT friends Israel and the Kingdom of Bahrain agree to a Peace Deal – the second Arab country to make peace with Israel in 30 days!,63500,18600
Joint Statement of the United States the Kingdom of Bahrain and the State of Israel,24300,4400
In 2001 our Nation united under God made an unbreakable promise never to forget the nearly 3000 innocent Americans who were senselessly killed on September 11th. On this sacred day — Patriot Day — we solemnly honor that commitment.,38800,22300
Congratulations to JPMorgan Chase for ordering everyone BACK TO OFFICE on September 21st. Will always be better than working from home!,30900,21400